2013-06-20 Ricoh Arena, Coventry, England - /gig:2013-06-20-ricoh-arena-coventry-england
2013-06-18 Hampden Park, Glasgow, Scotland - /gig:2013-06-18-hampden-park-glasgow-scotland
2013-06-15 Wembley Stadium, London, England - /gig:2013-06-15-wembley-stadium-london-england
2013-06-03 Stadio Giuseppe Meazza, Milan, Italy - /gig:2013-06-03-stadio-giuseppe-meazza-milan-italy
2013-05-31 Stadio Euganeo, Padua, Italy - /gig:2013-05-31-stadio-euganeo-padua-italy
2013-05-28 AWD Arena, Hannover, Germany - /gig:2013-05-28-awd-arena-hannover-germany
2013-05-26 Olympiastadion, Munich, Germany - /gig:2013-05-26-olympiastadion-munich-germany
2013-05-23 Piazza Del Plebiscito, Naples, Italy - /gig:2013-05-23-piazza-del-plebiscito-naples-italy
2013-05-16 Jyske Bank Boxen, Herning, Denmark - /gig:2013-05-16-jyske-bank-boxen-herning-denmark
2013-05-14 Parken Stadium, Copenhagen, Denmark - /gig:2013-05-14-parken-stadium-copenhagen-denmark
2013-05-11 Friends Arena, Solna, Sweden - /gig:2013-05-11-friends-arena-solna-sweden
2013-05-08 HK Areena, Turku, Finland - /gig:2013-05-08-hk-areena-turku-finland
2013-05-07 HK Areena, Turku, Finland - /gig:2013-05-07-hk-areena-turku-finland
2013-05-04 Friends Arena, Solna, Sweden - /gig:2013-05-04-friends-arena-solna-sweden
2013-05-03 Friends Arena, Solna, Sweden - /gig:2013-05-03-friends-arena-solna-sweden
2013-04-30 Telenor Arena, Oslo, Norway - /gig:2013-04-30-telenor-arena-oslo-norway
2013-04-29 Telenor Arena, Oslo, Norway - /gig:2013-04-29-telenor-arena-oslo-norway
2013-03-31 Hanging Rock, Mt. Macedon, Australia - /gig:2013-03-31-hanging-rock-macedon-australia
2013-03-30 Hanging Rock, Mt. Macedon, Australia - /gig:2013-03-30-hanging-rock-macedon-australia
2013-03-27 Rod Laver Arena, Melbourne, Australia - /gig:2013-03-27-rod-laver-arena-melbourne-australia
2013-03-26 Rod Laver Arena, Melbourne, Australia - /gig:2013-03-26-rod-laver-arena-melbourne-australia
2013-03-24 Rod Laver Arena, Melbourne, Australia - /gig:2013-03-24-rod-laver-arena-melbourne-australia
2013-03-22 Allphones Arena, Sydney, Australia - /gig:2013-03-22-allphones-arena-sydney-australia
2013-03-20 Allphones Arena, Sydney, Australia - /gig:2013-03-20-allphones-arena-sydney-australia
2013-03-18 Allphones Arena, Sydney, Australia - /gig:2013-03-18-allphones-arena-sydney-australia
2013-03-16 Brisbane Entertainment Centre, Brisbane, Australia - /gig:2013-03-16-entertainment-centre-brisbane-australia
2013-03-14 Brisbane Entertainment Centre, Brisbane, Australia - /gig:2013-03-14-entertainment-centre-brisbane-australia
2013-02-08 Los Angeles Convention Center, Los Angeles, CA - /gig:2013-02-08-convention-center-los-angeles-ca
2012-12-15 Prudential Center, Newark, NJ - /gig:2012-12-15-prudential-center-newark-nj
2012-12-12 Madison Square Garden, New York City, NY - /gig:2012-12-12-madison-square-garden-new-york-city-ny
2012-12-10 Palacio De Los Deportes, Mexico City, Mexico - /gig:2012-12-10-palacio-de-los-deportes-mexico-city-mexico
2012-12-06 Jobing.com Arena, Glendale, AZ - /gig:2012-12-06-jobing-com-arena-glendale-az
2012-12-04 Honda Center, Anaheim, CA - /gig:2012-12-04-honda-center-anaheim-ca
2012-11-30 Oracle Arena, Oakland, CA - /gig:2012-11-30-oracle-arena-oakland-ca
2012-11-28 Rose Garden, Portland, OR - /gig:2012-11-28-rose-garden-portland-or
2012-11-26 Rogers Arena, Vancouver, BC - /gig:2012-11-26-rogers-arena-vancouver-bc
2012-11-19 Pepsi Center, Denver, CO - /gig:2012-11-19-pepsi-center-denver-co
2012-11-17 Sprint Center, Kansas City, MO - /gig:2012-11-17-sprint-center-kansas-city-mo
2012-11-15 CenturyLink Center, Omaha, NE - /gig:2012-11-15-centurylink-center-omaha-ne
2012-11-12 Xcel Energy Center, Saint Paul, MN - /gig:2012-11-12-xcel-energy-center-saint-paul-mn
2012-11-11 Xcel Energy Center, Saint Paul, MN - /gig:2012-11-11-xcel-energy-center-saint-paul-mn
2012-11-08 Beacon Theatre, New York City, NY - /gig:2012-11-08-beacon-theatre-new-york-city-ny
2012-11-03 KFC Yum! Center, Louisville, KY - /gig:2012-11-03-kfc-yum-center-louisville-ky
2012-11-02 Rockefeller Center, GE Building, Studio 6A, New York City, NY - /gig:2012-11-02-rockefeller-center-new-york-city-ny
2012-10-31 Blue Cross Arena At The War Memorial, Rochester, NY - /gig:2012-10-31-blue-cross-arena-rochester-ny
2012-10-27 Soldiers & Sailors Memorial Hall & Museum, Pittsburgh, PA - /gig:2012-10-27-soldiers-sailors-hall-pittsburgh-pa
2012-10-27 Consol Energy Center, Pittsburgh, PA - /gig:2012-10-27-consol-energy-center-pittsburgh-pa
2012-10-25 XL Center, Hartford, CT - /gig:2012-10-25-xl-center-hartford-ct
2012-10-23 nTelos Wireless Pavilion, Charlottesville, VA - /gig:2012-10-23-ntelos-wireless-pavilion-charlottesville-va
2012-10-23 John Paul Jones Arena, Charlottesville, VA - /gig:2012-10-23-john-paul-jones-arena-charlottesville-va
2012-10-21 Copps Coliseum, Hamilton, ON - /gig:2012-10-21-copps-coliseum-hamilton-on
2012-10-19 Scotiabank Place, Ottawa, ON - /gig:2012-10-19-scotiabank-place-ottawa-on
2012-10-18 Cuyahoga Community College, Parma, OH - /gig:2012-10-18-cuyahoga-community-college-parma-oh
2012-09-22 MetLife Stadium, East Rutherford, NJ - /gig:2012-09-22-metlife-stadium-east-rutherford-nj
2012-09-21 MetLife Stadium, East Rutherford, NJ - /gig:2012-09-21-metlife-stadium-east-rutherford-nj
2012-09-19 MetLife Stadium, East Rutherford, NJ - /gig:2012-09-19-metlife-stadium-east-rutherford-nj
2012-09-14 Nationals Park, Washington, DC - /gig:2012-09-14-nationals-park-washington-dc
2012-09-08 Wrigley Field, Chicago, IL - /gig:2012-09-08-wrigley-field-chicago-il
