artwork_id,artwork_url,artwork_name,date
412,19760530.htm,Bruce Springsteen with Southside Johnny - 1976,1976-05-30
413,19760801.htm,A Rendezvous in Red Bank - Night One,1976-08-01
414,19760801_2.htm,First Rendezvous In Red Bank (Version 2),1976-08-01
415,19760802.htm,A Rendezvous in Red Bank - Night Two,1976-08-02
416,19760802_2.htm,Second Rendezvous In Red Bank (Version 2),1976-08-02
417,19760803.htm,A Rendezvous in Red Bank - Night Three,1976-08-03
418,19760803_2.htm,Third Rendezvous In Red Bank (Version 2),1976-08-03
419,19760803_3.htm,Delivering the promise (Version 3),1976-08-03
420,19760805.htm,A Rendezvous in Red Bank - Night Four,1976-08-05
421,19760805_2.htm,Monmouth Arts Centre (Version 2),1976-08-05
422,19760806.htm,A Rendezvous in Red Bank - Night Five,1976-08-06
